instruction,output,url
단계평가 결과 극히 불량 등급 이외에 과제를 중단할 수 없는지?,"단계평가 결과에 따라서는 극히 불량 등급인 경우에 과제를 중단할 수 있습니다. 다만, 혁신법 제15조에 따라 특정 사유가 있는 경우 특별평가를 통해 연구개발과제의 변경 및 중단 여부를 결정할 수 있으며, 평가 절차의 효율적 추진을 위해 단계평가 및 특별평가를 통합하여 운영 할 수 있습니다.",
과제의 변경 및 중단을 결정하는 자체 소관 위원회가 있는 경우 동 자체 소관 위원회의 평가를 특별평가로 인정할 수 있는지?,"해당 위원회가 시행령 제27조의 평가단 구성 요건에 부합하고, 법 제15조의 특별평가 사유에 의한 과제의 변경 및 중단을 결정하는 기능을 한다면 명칭과 상관없이 법 제15조에 의한 특별평가로 인정할 수 있음",
평가결과를 확정하기 위한 심의위원회의 심의가 필수인지? 또한 심의위원회 도입 취지는 무엇인지?,"1. 심의위원회는 평가결과를 확정하는 중앙행정기관의 절차로 연구개발과제의 내용 등에 대한 기술적, 전문적인 사항은 평가단을 통해 판단하되, 평가단의 평가결과를 포함하여 연구개발과제의 지원여부, 지원규모 등에 대한 최종적인 판단은 심의위원회에서 하라는 취지임
2. 따라서 평가단의 평가결과만으로 지원여부, 지원규모 등을 결정하는 등 심의위원회의 기능까지 평가단에 위임했다고 볼 만한 사정이 있는 경우에 심의를 거치지 않을 수 있음",
평가단의 평가결과를 심의하기 위한 사업별 심의위원회의 구성?운영 업무를 전문기관에 위탁할 수 있는지?,"1. 시행령 제28조 제2항 및 제3항은 심의위원회 위원과 위원장을 중앙행정기관의 장이 ‘위촉’하도록 하고 있으며, 동조 제5항은 심의위원회의 사무를 처리하기 위하여 심의위원회에 중앙행정기관 소속 5급 이상의 일반직공무원으로 ‘간사’를 두도록 하고 있음
2. 이러한 취지를 살펴볼 때 심의위원회의 구성?운영 업무는 중앙행정기관의 장이 직접 함을 원칙으로 하되, 운영의 업무는 일부 또는 전부를 전문기관이 대행하도록 할 수 있음",
특별평가 이후 최종평가를 부처 재량으로 실시할 수 있는지?,"1. 특별평가를 거쳐 중단된 과제 중「국가연구개발혁신법 시행령」제31조제3항 각 호에 해당하지 않는 경우에는 소관 부처가 해당 과제에 대한 성과평가 필요성을 검토하여 최종평가를 실시할 수 있음
2. 또한, 단계평가를 거쳐 「국가연구개발혁신법」 제15조제1항에 따른 특별평가를 실시한 경우, 소관 부처가 최종평가 별도 실시가 불필요하다고 판단될 경우 단계평가로 갈음할 수 있음",
과제(활용)담당관이 연구개발과제 평가에 평가위원으로 참여할 수 있는지?,"1. 「국가연구개발혁신법 시행령」 제27조제1항제5호의 단서조항 따라 해당 중앙행정기관 소속 공무원 및 전문기관의 임직원 중 연구개발과제 기획ㆍ분석ㆍ평가 업무에 종사하는 직원으로서 중앙행정기관의 장이 인정하는 연구관리전문가는 평가에 참여할 수 있음
2. 다만, 과제 담당관의 평가 참여를 명확히 하기 위해, 개별 부처의 운영 지침·규정 등에 과제 담당관의 평가 참여에 대한 사항(평가 참여 목적, 범위, 역할 등)을 포함할 필요가 있음",
단계보고서를 연구개발과제의 각 단계가 끝난 날 제출하게 되면 단계평가가 차단계가 시작되고 이루어져 평가결과를 반영할 수 없는데 어떻게 해야 하는지?,"1. 단계평가는 과제 진행상황을 점검하고 과제의 계속 진행여부를 결정하는 평가로 단계평가를 위해 단계보고서를 사전 제출하고, 단계평가 결과를 반영하여 향후 연구개발계획 등을 수정?보완하게 됨
2. 단계보고서에는 향후 과제 수행계획이 포함되며, 차 단계 연구수행을 위한 협약 변경 등을 고려할 때 단계보고서의 제출은 단계가 끝난 날까지 완료함이 타당함. 이때 단계보고서는 단계평가 이후 수정?보완 된 최종적인 단계보고서로 보아야 함
3. 한편 최종보고서는 협약 종료일 후 60일까지 제출할 수 있음",
최종보고서의 제출기한과 최종평가 시기 및 공개기한은 어떻게 정해야 하는지?,"1. 시행령 제18조제4항에 따라 최종보고서는 과제협약 종료일 후 60일까지 제출해야 하며, 이때의 보고서는 최종평가를 위해 제출하는 최종보고서임
2. 또한, 시행령 제35조제1항은 최종보고서 제출일로부터 3개월 이내에 공개하도록 정하고 있음
3. 따라서 일반적인 경우 최종보고서 제출일 이후, 협약 종료일 기준으로 5개월 이내에 최종평가를 마치고 평가결과에 따라 수정?보완된 최종보고서를 공개해야 함",
"위탁연구개발기관이 해당 성과에 지분이 있는 경우, 주관연구개발기관과의 공동 소유가 가능한지?","1. 위탁연구개발기관과 공동소유는 불가능함. 성과에 대한 지분을 설정하려면 공동연구개발기관으로서 연구개발과제를 분담하여 공동으로 수행하고, 성과에 대한 지분은 상호 협약에 따라 소유가능
2. 위탁연구개발기관은 성과를 소유할 수 없으나, 연구개발성과를 창출하였다면 시행령 제34조 제2항에 따라 우선적으로 연구개발성과를 실시할 수 있음. 단, 연구개발성과소유기관의 장은 직접 연구개발성과실시를 하거나 연구개발성과실시를 하려는 자와 연구개발성과실시에 관한 계약을 체결하는 등 필요한 조치를 해야 함 (시행령 제34조 제1항)",
"연구개발성과를 창출한 기여도를 기준으로 소유비율 정할 때, 기여도 산정방법은?","특정 연구개발성과에 대한 각 연구자의 실제 기여도를 기준으로 산정하되, 기여도 산정이 어려운 경우에는 기여도가 같은 것으로 간주",
연구개발성과 비공개 승인을 요청하는 경우 제한된 횟수가 있는지?,비공개 기간을 연장해야 할 사유가 인정되는 경우 그 횟수에는 제한이 없으나 비공개 기간 종료 전에 반드시 연장요청과 함께 추가승인 절차를 거쳐야 함,
"연구성과의 비공개 기간을 연장하려는 경우, 비공개 기간이 끝나기 전까지 요청하고, 승인은 비공개 기간이 지난 후 받아도 되는 것인지?",비공개 기간이 끝나기 전 연장을 요청하고 승인도 비공개 기간 내에 받아야 함,
위탁연구개발기관에서 구입한 기자재도 연구개발성과로 볼 수 있는지?,"1. 기자재의 종류에는 다양한 사안이 있을 수 있으나, 시행령 별표2의 연구개발비 사용용도에 따라, 연구시설?장비구입?설치비 비목으로 구매한 연구시설·장비는 시행령 제3조에 따른 연구개발성과로 볼 수 있음
※ ‘국가R&D사업을 통해 취득한 3천만원 이상의 연구시설·장비 또는 공동활용이 가능한 모든 연구시설?장비’의 경우에는 시행령 별표4에 따라 등록?기탁 대상임
2. 그 외 연구활동비(연구실운영비), 연구재료비 등으로 구매한 기자재(컴퓨터?복사기?사무용 가구?케이블?전선?레일?전산 용품 등)는 연구개발성과로 보기 어려움*
* 국가연구개발 시설?장비의 관리 등에 관한 매뉴얼(2021년): 실제 연구개발 수행에 직접적 독점적으로 사용되지 않는 기자재는 연구시설·장비 대상에서 제외
3. 위탁연구개발기관이 보유한 기자재가 연구개발성과로 인정받을 시 주관연구개발기관에 그 소유권이 있음",
"A대학 과제를 B대학 소속 교원이 외부참여연구원으로 참여하고 있고, 해당과제의 성과물로 특허 출원 시 B대학 단독소유로 특허 출원이 가능한 것인지?","1. 혁신법 시행령 제2조 제2항에 따르면 연구개발사업을 수행하는 ‘연구개발기관’은 ‘주관/공동/위탁 연구개발기관’으로 분류되며, 이에 따라 연구개발성과의 소유권이 달라짐
2. B대학이 ‘국가연구개발 협약서’ 상에 시행령 제2조 제2항에 따른 ‘연구개발기관(주관/공동)’에 해당되지 않는다면 B대학이 그 성과를 소유하는 것은 불가능함. 반대로 A대학이 주관 또는 공동연구개발기관으로서 B대학 소속 교원으로부터 권리를 승계하여 소유하는 것은 가능함
3. 만약, B 대학이 성과를 소유하고 싶다면 ‘국가연구개발 협약’ 상 ‘연구개발기관변경*’ 절차를 거쳐 ‘공동연구개발기관’으로 지위를 획득해야 함",
"국제공동연구 시, 연구개발성과의 소유는 어떻게 판단하나요?","1. 국가연구개발혁신법 시행령 제32조제2항에 의거 중앙행정기관의 장은 국제공동 연구개발과제에 대해 국내 연구개발기관이 연구성과를 소유하거나 연구개발과제 참여기관이 우선적으로 연구개발성과를 실시할 수 있도록 지원해야함
2. 한편 외국에 소재한 기관·단체 또는 외국인은 혁신법의 직접적 적용 대상이 아니나, 연구개발기관이 공동으로 연구개발성과를 창출한 경우 연구개발성과의 소유는 연구개발성과 창출 기여도를 기준으로 소유비율 및 연구개발성과실시 등에 관한 사항을 정할 수 있다는 기준을 적용하여 국내-해외 연구개발기관 간에 협약 체결이 가능함",
지식재산권 포기 시 공통된 양식이나 절차가 있는지?,"1. 혁신법 제22조에 따라 동법 제17조의 업무 및 시행령 제 34조의 업무를 대행하도록 지정된 전문기관이 있다면 전문기관에 승인 요청하고, 전문기관이 없는 경우 소관 중앙행정기관의 담당 부서에 지식재산권 포기에 대한 승인을 요청
2. 별도 양식 및 구체적인 내용은 별권4 「국가연구개발사업 지식재산권 포기 승인 업무 매뉴얼(’23.1.)」 참고",
연구개발성과소유기관이 지식재산권을 무상 양도할 때에도 중앙행정기관장의 허락을 받아야 하는지?,"혁신법에서 연구개발성과 실시는 연구개발성과를 사용·양도·대여 또는 수출하거나 연구개발성과의 양도 또는 대여의 청약을 하는 행위로 규정하고 있음. 따라서 지식재산권을 (무상) 양도하는 것은 포기에 해당하지 않으며, 시행령 제34조 제4항의 지식재산권 포기에 해당하지 않음",
"여러 연구개발기관이 공동으로 특허를 출원하여, 주관연구개발기관이 특허에 대한 소유권을 가지고 공동연구개발 기관은 소유권을 포기하기로 결정하였는데, 이 경우에도 중앙행정기관장의 승인이 필요한지?","여러 연구개발기관이 공동으로 연구개발성과를 창출한 경우, 시행령 제32조의 제1항 제2호에 의거해, 연구개발기관 간 협의에 따라 연구개발성과의 소유비율 및 연구개발성과실시 등에 사항을 정할 수가 있음. 이는 지식재산권 자체에 대한 포기가 아니기에 중앙행정기관장의 승인을 구하지 않고 추진 가능",
